exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Band Single Arm Chest Press,update,Band Single Arm Chest Press,,push -> Push,band -> Band,compound -> Compound,beginner -> Beginner,None -> Chest
Band Wood Chopper,insert,Band Wood Chopper,,None -> Pull,None -> Band,None -> Isolation,None -> Advanced,None -> Obliques
Band Face Pull,update,Band Face Pull,,,band -> Band,,novice -> Beginner,posterior deltoid -> Posterior Deltoid
Band Spanish Squat,update,Band Spanish Squat,,push -> Push,band -> Band,compound -> Compound,advanced -> Advanced,
Band Crunch,update,Band Crunch,,pull -> Pull,band -> Band,isolation -> Isolation,intermediate -> Intermediate,obliques -> Upper Abdominals
Band Bayesian Curl,update,Band Bayesian Curl,,pull -> Pull,band -> Band,isolation -> Isolation,beginner -> Beginner,None -> Long Head Bicep
Band Front Raise,update,Band Front Raise,,push -> Push,band -> Band,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Band Good Morning,update,Band Good Morning,,push -> Push,band -> Band,compound -> Compound,novice -> Beginner,
Band Bayesian Hammer Curl,update,Band Bayesian Hammer Curl,,,band -> Band,,intermediate -> Intermediate,None -> Long Head Bicep
Band Horizontal Shrug,update,Band Horizontal Shrug,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,upper trapezius -> Traps (mid-back)
Band Glute Kickback,insert,Band Glute Kickback,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Band Kneeling Single Arm Pulldown,update,Band Kneeling Single Arm Pulldown,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Lateral Raise,update,Band Lateral Raise,,push -> Push,band -> Band,isolation -> Isolation,novice -> Beginner,lateral deltoid -> Lateral Deltoid
Band Leg Press,update,Band Leg Press,,push -> Push,band -> Band,compound -> Compound,advanced -> Advanced,
Band Overhead Tricep Extension,insert,Band Overhead Tricep Extension,,None -> Push,None -> Band,None -> Isolation,None -> Advanced,
Band Pallof Press,insert,Band Pallof Press,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,None -> Obliques
Band Pull Apart,update,Band Pull Apart,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Band Pullover,update,Band Pullover,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Band Pullthrough,update,Band Pullthrough,,pull -> Pull,band -> Band,compound -> Compound,beginner -> Beginner,
Band Pushdown,insert,Band Pushdown,,,None -> Band,,None -> Beginner,
Band Pushup,update,Band Pushup,,push -> Push,band -> Band,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest
Band Romanian Deadlift,update,Band Romanian Deadlift,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Bayesian Reverse Curl,update,Band Bayesian Reverse Curl,,pull -> Pull,band -> Band,isolation -> Isolation,beginner -> Beginner,brachioradialis -> Long Head Bicep
Band Row,update,Band Row,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Single Arm Overhead Press,update,Band Single Arm Overhead Press,,push -> Push,band -> Band,compound -> Compound,novice -> Beginner,anterior deltoid -> Lateral Deltoid; Anterior Deltoid
Band Shrug,update,Band Shrug,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Band Skullcrusher,insert,Band Skullcrusher,,None -> Push,None -> Band,None -> Isolation,None -> Advanced,
Band Squat,update,Band Squat,,push -> Push,band -> Band,compound -> Compound,novice -> Beginner,
Dumbbell Reverse Curl,update,Dumbbell Reverse Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Row Unilateral,update,Dumbbell Row Unilateral,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,latissimus-dorsi -> Traps (mid-back)
Dumbbell Goblet Good Morning,update,Dumbbell Goblet Good Morning,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Goblet Bulgarian Split Squat,insert,Dumbbell Goblet Bulgarian Split Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Skullcrusher,update,Dumbbell Skullcrusher,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,triceps brachii -> Long Head Tricep
Dumbbell Hip Thrust,update,Dumbbell Hip Thrust,,,dumbbell -> Dumbbells,,novice -> Beginner,
Dumbbell Wood Chopper,update,Dumbbell Wood Chopper,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Dumbbell Situp,update,Dumbbell Situp,,,dumbbell -> Dumbbells,,intermediate -> Intermediate,
Dumbbell Russian Twist,update,Dumbbell Russian Twist,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Dumbbell Shrug,update,Dumbbell Shrug,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Romanian Deadlift,update,Dumbbell Romanian Deadlift,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Plank Pullthrough,update,Dumbbell Plank Pullthrough,,,dumbbell -> Dumbbells,,intermediate -> Intermediate,
Dumbbell Glute Bridge,update,Dumbbell Glute Bridge,,,dumbbell -> Dumbbells,,novice -> Beginner,
Dumbbell Calf Raise,update,Dumbbell Calf Raise,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Barbell Bulgarian Split Squat,insert,Barbell Bulgarian Split Squat,,,None -> Barbell,,None -> Advanced,
Barbell Floor Press,insert,Barbell Floor Press,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,None -> Chest
Barbell Front Raise,update,Barbell Front Raise,,push -> Push,barbell -> Barbell,isolation -> Isolation,intermediate -> Intermediate,anterior deltoid -> Anterior Deltoid
Barbell Front Squat Olympic,insert,Barbell Front Squat Olympic,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Front Squat Bodybuilding,insert,Barbell Front Squat Bodybuilding,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell High Bar Good Morning,update,Barbell High Bar Good Morning,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,hamstrings -> Lateral Hamstrings
Barbell Low Bar Good Morning,update,Barbell Low Bar Good Morning,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,advanced -> Advanced,hamstrings -> Lateral Hamstrings
Barbell Overhead Press,update,Barbell Overhead Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Barbell Upright Row,update,Barbell Upright Row,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,advanced -> Advanced,lateral deltoid -> Lateral Deltoid; Anterior Deltoid
Barbell Sumo Deadlift,update,Barbell Sumo Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Barbell Staggered Deadlift,update,Barbell Staggered Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,hamstrings -> Gluteus Maximus; Lateral Hamstrings
Barbell Skullcrusher,update,Barbell Skullcrusher,,,barbell -> Barbell,,intermediate -> Intermediate,
Barbell Single Leg Deadlift,update,Barbell Single Leg Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,hamstrings -> Gluteus Maximus; Lateral Hamstrings
Barbell Situp,update,Barbell Situp,,push -> Push,barbell -> Barbell,isolation -> Isolation,intermediate -> Intermediate,
Barbell Reverse Curl,update,Barbell Reverse Curl,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,advanced -> Advanced,
Barbell Overhead Tricep Extension,update,Barbell Overhead Tricep Extension,,,barbell -> Barbell,,advanced -> Advanced,
Barbell Romanian Deadlift,update,Barbell Romanian Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,hamstrings -> Lateral Hamstrings
Barbell High Bar Squat,insert,Barbell High Bar Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Beginner,
Barbell Low Bar Squat,insert,Barbell Low Bar Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Dumbbell Wrist Extension,update,Dumbbell Wrist Extension,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Bulgarian Split Squat,insert,Dumbbell Bulgarian Split Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Rear Delt Row,update,Dumbbell Rear Delt Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Bodyweight Russian Twist,update,Bodyweight Russian Twist,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Side Plank Up Down,insert,Side Plank Up Down,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Intermediate,None -> Obliques
Side Plank Reach Through,insert,Side Plank Reach Through,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Advanced,None -> Obliques
Long Lever Plank,update,Long Lever Plank,,hold -> Hold,bodyweight -> Bodyweight,isolation -> Isolation,advanced -> Advanced,
Elbow Side Plank,insert,Elbow Side Plank,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Obliques
Hand Side Plank,insert,Hand Side Plank,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Obliques
Hand Plank,update,Hand Plank,,hold -> Hold,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Hollow Hold,update,Hollow Hold,,hold -> Hold,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,
Barbell Calf Jump,update,Barbell Calf Jump,,push -> Push,barbell -> Barbell,isolation -> Isolation,advanced -> Advanced,
Barbell Coan Deadlift,update,Barbell Coan Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Barbell Forward Lunge,update,Barbell Forward Lunge,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,
Barbell Front Rack Step Up,insert,Barbell Front Rack Step Up,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Glute Bridge,update,Barbell Glute Bridge,,push -> Push,barbell -> Barbell,compound -> Compound,beginner -> Beginner,
Barbell Heels Up Back Squat,insert,Barbell Heels Up Back Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Heels Up Front Squat,insert,Barbell Heels Up Front Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Hooklying Bench Press,update,Barbell Hooklying Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,pectoralis major sternal head -> Chest
Barbell Landmine Row,insert,Barbell Landmine Row,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,None -> Traps (mid-back)
Barbell Larsen Bench Press,update,Barbell Larsen Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,pectoralis major sternal head -> Chest
Barbell Lateral Lunge,update,Barbell Lateral Lunge,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,
Barbell Long Landmine Row,insert,Barbell Long Landmine Row,,None -> Pull,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Meadows Row,insert,Barbell Meadows Row,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Pause Box Squat,insert,Barbell Pause Box Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Pause Squat,insert,Barbell Pause Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Pronated Pendlay Row,update,Barbell Pronated Pendlay Row,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,
Barbell Pronated Row,update,Barbell Pronated Row,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Barbell Reverse Deadlift,insert,Barbell Reverse Deadlift,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Reverse Lunge,update,Barbell Reverse Lunge,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Bodyweight Reverse Step Up,insert,Bodyweight Reverse Step Up,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Advanced,
Barbell Seated Calf Raise,update,Barbell Seated Calf Raise,,push -> Push,barbell -> Barbell,isolation -> Isolation,beginner -> Beginner,
Barbell Shrug,update,Barbell Shrug,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,beginner -> Beginner,
Barbell Side Step Up,insert,Barbell Side Step Up,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Snatch Grip Deadlift,update,Barbell Snatch Grip Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,gluteus maximus -> Gluteus Maximus
Barbell Snatch Grip Romanian Deadlift,update,Barbell Snatch Grip Romanian Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,gluteus maximus -> Gluteus Maximus; Lateral Hamstrings
Barbell Split Squat,insert,Barbell Split Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Spoto Press,update,Barbell Spoto Press,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,pectoralis major sternal head -> Chest
Barbell Step Up Balance,insert,Barbell Step Up Balance,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Step Up,insert,Barbell Step Up,,None -> Push,None -> Barbell,None -> Compound,None -> Beginner,
Barbell Suitcase Deadlift,insert,Barbell Suitcase Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Advanced,None -> Obliques
Barbell Supinated Pendlay Row,update,Barbell Supinated Pendlay Row,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,
Barbell Supinated Row,update,Barbell Supinated Row,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,
Barbell Tap Pause Squat,insert,Barbell Tap Pause Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Toes Up Calf Raise,update,Barbell Toes Up Calf Raise,,push -> Push,barbell -> Barbell,isolation -> Isolation,beginner -> Beginner,gastrocnemius -> Gastrocnemius
Barbell Zercher Good Morning,update,Barbell Zercher Good Morning,,pull -> Pull,barbell -> Barbell,compound -> Compound,advanced -> Advanced,hamstrings -> Gluteus Maximus; Lateral Hamstrings
Barbell Zercher Squat,insert,Barbell Zercher Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Z Press,update,Barbell Z Press,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Assisted Bulgarian Split Squat,insert,Assisted Bulgarian Split Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Curtsy Lunge,insert,Curtsy Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Forward Lunge,insert,Forward Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Heels Up Squat,insert,Heels Up Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Lateral Lunge,insert,Lateral Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Reverse Lunge,insert,Bodyweight Reverse Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Split Squat,insert,Split Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Dumbbell Alternating Single Arm Press,insert,Dumbbell Alternating Single Arm Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Chest
Dumbbell Bayesian Lateral Raise,insert,Dumbbell Bayesian Lateral Raise,,None -> Pull,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Lateral Deltoid
Dumbbell Bench Press,update,Dumbbell Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,pectoralis major sternal head -> Chest
Dumbbell Chest Fly,update,Dumbbell Chest Fly,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,pectoralis major sternal head -> Chest
Dumbbell Decline Alternating Single Arm Press,insert,Dumbbell Decline Alternating Single Arm Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Chest
Dumbbell Decline Bench Press,update,Dumbbell Decline Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,pectoralis major sternal head -> Chest
Dumbbell Decline Chest Fly,update,Dumbbell Decline Chest Fly,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,pectoralis major sternal head -> Chest
Dumbbell Decline Guillotine Bench Press,update,Dumbbell Decline Guillotine Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,pectoralis major sternal head -> Chest
Dumbbell Decline Neutral Bench Press,update,Dumbbell Decline Neutral Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,pectoralis major sternal head -> Anterior Deltoid; Chest
